index,window_offset,abs_start_sample,abs_end_sample,abs_phr_start_sample,abs_phr_end_sample,abs_payload_start_sample,abs_payload_end_sample,localization_start_sample,localization_end_sample,end_sample_source,has_precise_end_sample,time_start_ms,time_end_ms,detected_repetitions,sample_clock_error_ppm,cfo_hz,sfd_name,sfd_correlation,phr_secded_pass,psdu_length_bytes,fcs_received,fcs_calculated,fcs_pass,payload_hex
1,0,18818,246402,216913,232791,232793,246402,16770,250498,"decoded_payload_last_chip",1,0.025524,0.334204,262,0.000000,-1637.548118,"Decawave DW-8",0.962174,1,12,0x16FE,0x16FE,1,"618812F2F00200010000FE16"
2,343300,397289,624873,595383,611262,611263,624873,395241,628969,"decoded_payload_last_chip",1,0.538858,0.847538,262,0.000000,-1652.285737,"Decawave DW-8",0.962230,1,12,0x9741,0x9741,1,"618813F2F002000100004197"
3,721700,775760,1003344,973854,989733,989734,1003344,773712,1007440,"decoded_payload_last_chip",1,1.052192,1.360872,262,0.000000,-1637.040237,"Decawave DW-8",0.961703,1,12,0x0B4F,0x0B4F,1,"618814F2F002000100004F0B"
4,1100300,1154230,1381814,1352324,1368203,1368204,1381814,1152182,1385910,"decoded_payload_last_chip",1,1.565525,1.874205,262,-0.000000,-1662.098703,"Decawave DW-8",0.963012,1,12,0x8AF0,0x8AF0,1,"618815F2F00200010000F08A"
5,1478700,1532701,1760285,1730795,1746674,1746675,1760285,1530653,1764381,"decoded_payload_last_chip",1,2.078859,2.387539,262,0.000000,-1639.440360,"Decawave DW-8",0.962132,1,12,0x0020,0x0020,1,"618816F2F002000100002000"
6,1857200,1911171,2138755,2109266,2125144,2125146,2138755,1909123,2142851,"decoded_payload_last_chip",1,2.592192,2.900872,262,0.000000,-1616.912464,"Decawave DW-8",0.962170,1,12,0x819F,0x819F,1,"618817F2F002000100009F81"
7,2235700,2289642,2517226,2487736,2503615,2503616,2517226,2287594,2521322,"decoded_payload_last_chip",1,3.105526,3.414206,262,0.000000,-1645.481465,"Decawave DW-8",0.962749,1,12,0x302D,0x302D,1,"618818F2F002000100002D30"
8,2614300,2668112,2895696,2866206,2882085,2882086,2895696,2666064,2899792,"decoded_payload_last_chip",1,3.618859,3.927539,262,0.000000,-1622.999516,"Decawave DW-8",0.962933,1,12,0xB192,0xB192,1,"618819F2F0020001000092B1"
9,2992600,3046582,3274167,3244677,3260555,3260557,3274167,3044534,3278263,"decoded_payload_last_chip",1,4.132191,4.440873,262,0.000000,-1629.894620,"Decawave DW-8",0.962326,1,12,0x3B42,0x3B42,1,"61881AF2F00200010000423B"
10,3371100,3425053,3652637,3623147,3639026,3639027,3652637,3423005,3656733,"decoded_payload_last_chip",1,4.645525,4.954206,262,0.000000,-1639.662760,"Decawave DW-8",0.961919,1,12,0xBAFD,0xBAFD,1,"61881BF2F00200010000FDBA"
11,3749600,3803523,4031107,4001618,4017496,4017498,4031107,3801475,4035203,"decoded_payload_last_chip",1,5.158858,5.467539,262,0.000000,-1650.791016,"Decawave DW-8",0.962684,1,12,0x26F3,0x26F3,1,"61881CF2F00200010000F326"
12,4128000,4181994,4409578,4380089,4395967,4395968,4409578,4179946,4413674,"decoded_payload_last_chip",1,5.672192,5.980873,262,0.000000,-1661.480778,"Decawave DW-8",0.962021,1,12,0xA74C,0xA74C,1,"61881DF2F002000100004CA7"
13,4506500,4560465,4788049,4758559,4774437,4774439,4788049,4558417,4792145,"decoded_payload_last_chip",1,6.185527,6.494207,262,0.000000,-1614.687017,"Decawave DW-8",0.962565,1,12,0x2D9C,0x2D9C,1,"61881EF2F002000100009C2D"
14,4885000,4938935,5166519,5137030,5152908,5152909,5166519,4936887,5170615,"decoded_payload_last_chip",1,6.698859,7.007540,262,0.000000,-1672.444127,"Decawave DW-8",0.962347,1,12,0xAC23,0xAC23,1,"61881FF2F0020001000023AC"
15,5263500,5317405,5544990,5515500,5531378,5531380,5544990,5315357,5549086,"decoded_payload_last_chip",1,7.212192,7.520874,262,0.000000,-1637.006761,"Decawave DW-8",0.962135,1,12,0xF019,0xF019,1,"618820F2F0020001000019F0"
16,5641900,5695876,5923460,5893970,5909849,5909850,5923460,5693828,5927556,"decoded_payload_last_chip",1,7.725526,8.034207,262,0.000000,-1657.764240,"Decawave DW-8",0.962668,1,12,0x71A6,0x71A6,1,"618821F2F00200010000A671"
17,6020400,6074346,6301931,6272442,6288320,6288321,6301931,6072298,6306027,"decoded_payload_last_chip",1,8.238859,8.547541,262,4.557411,-1883.142291,"Decawave DW-8",0.961865,1,12,0xFB76,0xFB76,1,"618822F2F0020001000076FB"
18,6398900,6452817,6680402,6650912,6666790,6666792,6680402,6450769,6684498,"decoded_payload_last_chip",1,8.752193,9.060875,262,0.591061,-1613.902293,"Decawave DW-8",0.966136,1,12,0x7AC9,0x7AC9,1,"618823F2F00200010000C97A"
