index,success,abs_start_detected,abs_start_fitted,samples_subtracted,alignment_correlation,integer_alignment_correlation,fractional_delay_samples,fitted_cfo_hz,global_gain,phr_gain,payload_gain,frame_suppression_db,clipped_component_count,fcs_pass,message
1,1,18818,18818,227565,0.986916161471771,0.964584321277465,0.19,-1625.69926732365,3343.13541690013-2811.59344657075i,0.857838034704894-0.00747068050673692i,0.873892662274926-0.0336173940412197i,14.4225373309291,0,1,
2,1,397289,397289,227565,0.987570830870098,0.974841144748842,-0.12,-1641.22023016357,-2664.88552577692+3431.45186973043i,0.861751370191304-0.0391080913936762i,0.88294223942754-0.0382080017967245i,14.7321142645571,0,1,
3,1,775760,775760,227565,0.986863292253213,0.955083053205043,-0.23,-1629.894318504,1256.26080673592-4200.92766204086i,0.858525042044553-0.0329612102250828i,0.872016210072988-0.0368326125791957i,14.4566449235899,0,1,
4,1,1154230,1154230,227565,0.987120615044011,0.962988996621353,-0.2,-1650.90531922354,-1697.01660235091+4028.89504999858i,0.85961299821753-0.0309989781610807i,0.879479699503784-0.0454479630492355i,14.5062833527419,0,1,
5,1,1532701,1532701,227565,0.986323614210628,0.932209148132656,-0.31,-1632.46193846886,228.893508843054-4411.63673202378i,0.855498806711621-0.0220508067101432i,0.87716877870493-0.0529619093908104i,14.3027331962894,0,1,
6,1,1911171,1911171,227565,0.987392130687738,0.966671142770516,0.18,-1608.72580493202,464.609559093542+4350.7639839911i,0.858256858181387-0.0143841748569574i,0.871504877494792-0.0687237400502747i,14.5237843849315,0,1,
7,1,2289642,2289642,227565,0.985962239040359,0.903671110197429,-0.38,-1637.53817051923,-897.715697301857-4360.30854429101i,0.855884839709823+0.00289177678405337i,0.869039182347134-0.022257458987841i,14.1576586068,0,1,
8,1,2668112,2668112,227565,0.985916545614623,0.917258813466881,-0.35,-1612.20616906188,678.279692776562+4389.79652038166i,0.854642802585347-0.0396203497804658i,0.874914932364075-0.03027864226613i,14.2027494896074,0,1,
9,1,3046582,3046582,227565,0.986908168450507,0.950234962529318,0.25,-1618.59329626984,-1345.20317874364-4194.05433937265i,0.854521585329023-0.0208927065902014i,0.877226492425074-0.0466303804709158i,14.3701179528686,0,1,
10,1,3425053,3425053,227565,0.98655434472682,0.932686296187154,-0.31,-1628.32961352474,1859.0516345481+4019.45971264205i,0.857072271498531+0.00191591481189414i,0.87115424926756-0.0234016505847887i,14.2370472950169,0,1,
