index,window_offset,abs_start_sample,abs_end_sample,abs_phr_start_sample,abs_phr_end_sample,abs_payload_start_sample,abs_payload_end_sample,localization_start_sample,localization_end_sample,end_sample_source,has_precise_end_sample,time_start_ms,time_end_ms,detected_repetitions,sample_clock_error_ppm,cfo_hz,sfd_name,sfd_correlation,phr_secded_pass,psdu_length_bytes,fcs_received,fcs_calculated,fcs_pass,payload_hex
1,0,83874,222228,185933,201811,201813,222228,81826,226324,"decoded_payload_last_chip",1,0.113761,0.301416,144,-0.000000,-1628.781561,"Decawave DW-8",0.102990,1,21,0xDD0A,0x4E82,0,"5C48E0080A6B3A000A6FCE9EFB54298C0E42E10ADD"
2,343300,462344,580282,564404,580282,NaN,NaN,460296,584378,"decoded_phr_last_chip",0,0.627094,0.787058,144,-0.000000,-1636.674754,"Decawave DW-8",0.102606,0,17,0x0000,0x0000,0,""
3,721700,840815,1055544,942874,958753,958754,1055544,838767,1059640,"decoded_payload_last_chip",1,1.140428,1.431673,144,-0.000000,-1655.223663,"Decawave DW-8",0.102003,1,110,0x9C33,0xA07F,0,"5C48E008A261E20A0A27CB9EFB54298C0E428C854794070590D3122647AB5275EC98C01F6937B27CAE418183666C04694C4DC445B65EF5D63285DCCAC80BC7A9743701063EA900FE8BC38B749016F4D237A4C5A0EDC90C2353A5CAE780CD6A74C3B7549A42422C5EA4BCA165339C"
4,1100300,1219285,1337223,1321344,1337223,NaN,NaN,1217237,1341319,"decoded_phr_last_chip",0,1.653761,1.813725,144,-0.000000,-1694.074063,"Decawave DW-8",0.102795,0,1,0x0000,0x0000,0,""
5,1478700,1597756,1730817,1699815,1715694,1715695,1730817,1595708,1734913,"decoded_payload_last_chip",1,2.167095,2.347571,144,-0.000000,-1610.413674,"Decawave DW-8",0.102662,1,14,0xD4E4,0xA99C,0,"5C48E0000A6BBA0A0A32CFDEE4D4"
6,1857200,1976227,2094164,2078286,2094164,NaN,NaN,1974179,2098260,"decoded_phr_last_chip",0,2.680429,2.840392,144,-0.000000,-1588.313190,"Decawave DW-8",0.102182,0,17,0x0000,0x0000,0,""
7,2235700,2354697,2472635,2456756,2472635,NaN,NaN,2352649,2476731,"decoded_phr_last_chip",0,3.193762,3.353726,144,-0.000000,-1688.566874,"Decawave DW-8",0.102372,0,17,0x0000,0x0000,0,""
8,2614300,2733167,2871522,2835226,2851105,2851106,2871522,2731119,2875618,"decoded_payload_last_chip",1,3.707095,3.894751,144,-0.000000,-1628.483164,"Decawave DW-8",0.102942,1,21,0x0132,0x2FE3,0,"5C58E0080A6B3A000A32CF9EFBF4298C0E421C3201"
9,2992600,3111632,3229570,3213691,3229570,NaN,NaN,3109584,3233666,"decoded_phr_last_chip",0,4.220421,4.380385,144,2.262648,-1673.301373,"Decawave DW-8",0.124688,0,44,0x0000,0x0000,0,""
10,3371100,3490102,3651899,3592162,3608040,3608042,3651899,3488054,3655995,"decoded_payload_last_chip",1,4.733754,4.953205,144,2.262648,-1645.985834,"Decawave DW-8",0.125047,1,46,0x8B10,0x52F2,0,"58CBA88FA8CB16000B3B9BA7EBBDE9515D577322481946C41166192C678ABEF0562CBE1A779FB8D276404024108B"
11,4128000,4181776,4320130,4283835,4299713,4299714,4320130,4179728,4324226,"decoded_payload_last_chip",1,5.671897,5.859551,144,0.000000,-1623.000494,"Decawave DW-8",0.103428,1,21,0x9904,0x4D2B,0,"5C48E0084A60EA0A1F2FCF7E724CF0C00D664E0499"
12,4506500,4560246,4698600,4662305,4678183,4678185,4698600,4558198,4702696,"decoded_payload_last_chip",1,6.185229,6.372884,144,0.000000,-1599.377956,"Decawave DW-8",0.103841,1,21,0x9964,0xCA31,0,"5C48E000CA6A6A200A3ACF7E724CF0C0054E4E6499"
13,4885000,4936457,5096742,5038517,5054395,5054397,5096742,4934409,5100838,"decoded_payload_last_chip",1,6.695498,6.912899,144,8.103208,-1678.700801,"Decawave DW-8",0.127350,1,44,0x7F35,0xACB3,0,"A8B0BD23B49B360A5F9B8983CD75D95F20644EEC8C550845C10D8DF4BD182E3EA22847A8CC02401AC017357F"
14,5263500,5382455,5500393,5484514,5500393,NaN,NaN,5380407,5504489,"decoded_phr_last_chip",0,7.300422,7.460385,144,2.262648,-1608.278439,"Decawave DW-8",0.124693,0,44,0x0000,0x0000,0,""
15,5641900,5760925,5921209,5862985,5878863,5878864,5921209,5758877,5925305,"decoded_payload_last_chip",1,7.813755,8.031154,144,2.262648,-1637.623067,"Decawave DW-8",0.124747,1,44,0x8440,0x1262,0,"58CBE888A8CB16000B3B9B274BD7E9515D5709025D9986DA31F31A226730BA00633636B267336B4763404084"
16,6020400,6139396,6257333,6241455,6257333,NaN,NaN,6137348,6261429,"decoded_phr_last_chip",0,8.327089,8.487051,144,2.262648,-1673.608056,"Decawave DW-8",0.125259,0,46,0x0000,0x0000,0,""
17,6394052,6517873,6635811,6619933,6635811,NaN,NaN,6515825,6639907,"decoded_phr_last_chip",0,8.840431,9.000395,144,6.659385,-1908.041746,"Decawave DW-8",0.099828,0,99,0x0000,0x0000,0,""
18,6777300,6896337,7056621,6998396,7014275,7014276,7056621,6894289,7060717,"decoded_payload_last_chip",1,9.353756,9.571155,144,2.262648,-1727.651200,"Decawave DW-8",0.124509,1,44,0x2440,0x794B,0,"F8E1A83FAA9B160A0B9BDD26EBFDE9515D57CCA46636468491732B77460A14603666391A6633B26C71404024"
19,7155800,7274808,7392745,7376867,7392745,NaN,NaN,7272760,7396841,"decoded_phr_last_chip",0,9.867090,10.027052,144,2.262648,-1691.576706,"Decawave DW-8",0.123785,0,44,0x0000,0x0000,0,""
20,7534400,7586510,7765698,7688569,7704447,7704448,7765698,7584462,7769794,"decoded_payload_last_chip",1,10.289863,10.532902,144,-0.278875,-1652.322715,"Decawave DW-8",0.103734,1,69,0xF6C5,0x381B,0,"5C5DE0001E6B3A000A3A679F224DF0C0A5644E0499150D610186DFA9E9E95864A2600491CC8ECA00AC3E9DA803D34429441DBB3382E2505E9F6C5ED06EC221AFA330B8C5F6"
21,7912700,8031749,8149687,8133808,8149687,NaN,NaN,8029701,8153783,"decoded_phr_last_chip",0,10.893757,11.053720,144,2.992471,-1661.808758,"Decawave DW-8",0.123699,0,44,0x0000,0x0000,0,""
22,8291200,8410219,8570504,8512279,8528157,8528159,8570504,8408171,8574600,"decoded_payload_last_chip",1,11.407090,11.624490,144,2.262648,-1704.235298,"Decawave DW-8",0.124491,1,44,0x2440,0x91E4,0,"FCF5B83FAACB16000B9B7724EBD5E9510D56702C18C2E6EF3173B623D2BA10B096333C186033033103414024"
23,8669700,8788690,8948974,8890749,8906628,8906629,8948974,8786642,8953070,"decoded_payload_last_chip",1,11.920424,12.137823,144,2.262648,-1683.759675,"Decawave DW-8",0.124423,1,44,0x2440,0x1995,0,"FCDDE825009B160A0B9B77245B57E9D157575CA1F33606E71113BB7BA68A1760663C36B6303451F207014024"
24,9048200,9167160,9368277,9269218,9285097,9285098,9368277,9165112,9372373,"decoded_payload_last_chip",1,12.433757,12.706539,144,2.310116,12369.482681,"Decawave DW-8",0.084257,1,92,0x7389,0x2BD5,0,"29E018AA644232287E2FFEC54A5CCF90F07801A3A012D20B6952955BF484FEE0263300980028391C790840844442D29697D585620C9A3E538201CFA12313A181B2FA43229E279E88615D775443B62DF3E978DFBB9BB683C9001E8973"
25,9426600,9545636,9663574,9647695,9663574,NaN,NaN,9543588,9667670,"decoded_phr_last_chip",0,12.947097,13.107061,144,-0.000000,-1652.634579,"Decawave DW-8",0.102336,0,17,0x0000,0x0000,0,""
26,10183600,10302577,10435638,10404636,10420515,10420516,10435638,10300529,10439734,"decoded_payload_last_chip",1,13.973764,14.154240,144,-0.000000,-1612.062319,"Decawave DW-8",0.102958,1,14,0xF4E4,0x82D6,0,"5C48E0080A6B3A000A2FCBDEE4F4"
27,10562000,10681048,10819403,10783107,10798986,10798987,10819403,10679000,10823499,"decoded_payload_last_chip",1,14.487099,14.674755,144,-0.000000,-1660.551152,"Decawave DW-8",0.102365,1,21,0xD536,0x263E,0,"5C48E0000A6BBA0A0A6FCEDEE4A0298C0E428936D5"
28,10940500,11059519,11197873,11161578,11177456,11177458,11197873,11057471,11201969,"decoded_payload_last_chip",1,15.000433,15.188087,144,-0.000000,-1627.019779,"Decawave DW-8",0.101981,1,21,0xC86D,0x518D,0,"5C5DE0080A6B3A000A3ACBDEE4F4298C0E42A96DC8"
29,12075900,12194930,12333284,12296989,12312867,12312869,12333284,12192882,12337380,"decoded_payload_last_chip",1,16.540432,16.728087,144,-0.000000,-1740.927062,"Decawave DW-8",0.103221,1,21,0x2DA8,0x1B2E,0,"5C5DE008A261BA0A0A32CB9EFB40298C0E4278A82D"
30,12454500,12573400,12716292,12675460,12691338,12691339,12716292,12571352,12720388,"decoded_payload_last_chip",1,17.053765,17.247575,144,-0.000000,-1668.073238,"Decawave DW-8",0.102528,1,27,0x1286,0xA4BB,0,"5C48E0000A6BBA0A0A6FCE9EFB54298C0E42D9F4A73AA385458612"
31,12832900,12886596,13024951,12988656,13004534,13004535,13024951,12884548,13029047,"decoded_payload_last_chip",1,17.478564,17.666220,144,0.000000,-1609.421092,"Decawave DW-8",0.104367,1,21,0x9904,0xAF21,0,"5C48E000CA6A6A001A3ACB7E724CF0C0054E4E0499"
32,13211300,13330341,13463403,13432401,13448279,13448280,13463403,13328293,13467499,"decoded_payload_last_chip",1,18.080432,18.260909,144,-0.000000,-1664.489365,"Decawave DW-8",0.103147,1,14,0x54FB,0x5357,0,"5C5DE008A261E20A0A6FCE9EFB54"
33,13589800,13708812,13826749,13810871,13826749,NaN,NaN,13706764,13830845,"decoded_phr_last_chip",0,18.593766,18.753729,144,-0.000000,-1616.849763,"Decawave DW-8",0.101974,0,17,0x0000,0x0000,0,""
34,13968400,14021258,14139196,14123318,14139196,NaN,NaN,14019210,14143292,"decoded_phr_last_chip",0,19.017548,19.177512,144,0.878161,-1667.772915,"Decawave DW-8",0.102820,0,43,0x0000,0x0000,0,""
35,14346700,14465747,14626031,14567806,14583684,14583686,14626031,14463699,14630127,"decoded_payload_last_chip",1,19.620425,19.837824,144,2.262648,-1598.964984,"Decawave DW-8",0.125075,1,44,0x2440,0x5217,0,"58CBE83FAA9B16000B9B33254BB7E9515D57662CED3006AF41A7B675E620B8B0233212B2C0B2440620414024"
36,15103700,15222693,15373903,15324753,15340631,15340633,15373903,15220645,15377999,"decoded_payload_last_chip",1,20.647099,20.852190,144,1.724676,-1727.832412,"Decawave DW-8",0.103993,1,38,0x1B64,0x710B,0,"5C58E0009661BA0A0A2F9B6BEED4298C0E42934BEC9CB39A45B2B63646DFD255C69E96B4641B"
37,15482300,15601164,15719102,15703223,15719102,NaN,NaN,15599116,15723198,"decoded_phr_last_chip",0,21.160433,21.320397,144,-0.000000,-1654.443587,"Decawave DW-8",0.102125,0,17,0x0000,0x0000,0,""
38,15860700,15979629,16097567,16081689,16097567,NaN,NaN,15977581,16101663,"decoded_phr_last_chip",0,21.673759,21.833723,144,2.262648,-1653.348928,"Decawave DW-8",0.124901,0,44,0x0000,0x0000,0,""
39,16239300,16358105,16496460,16460164,16476043,16476044,16496460,16356057,16500556,"decoded_payload_last_chip",1,22.187100,22.374756,144,-0.000000,-1637.617544,"Decawave DW-8",0.103472,1,21,0xB013,0x6AD6,0,"5C48E008A261BA0A0A32CFDEE454298C0E424913B0"
40,16617600,16736570,16854508,16838629,16854508,NaN,NaN,16734522,16858604,"decoded_phr_last_chip",0,22.700426,22.860390,144,2.262648,-1690.194250,"Decawave DW-8",0.124266,0,46,0x0000,0x0000,0,""
41,16996000,17115041,17232979,17217100,17232979,NaN,NaN,17112993,17237075,"decoded_phr_last_chip",0,23.213760,23.373724,144,3.544288,2159.908192,"Decawave DW-8",0.117708,0,68,0x0000,0x0000,0,""
42,17374500,17493511,17611449,17595571,17611449,NaN,NaN,17491463,17615545,"decoded_phr_last_chip",0,23.727093,23.887056,144,2.262648,-1650.466400,"Decawave DW-8",0.124980,0,44,0x0000,0x0000,0,""
43,17753000,17871982,18032266,17974041,17989919,17989921,18032266,17869934,18036362,"decoded_payload_last_chip",1,24.240427,24.457826,144,2.262648,-1693.584219,"Decawave DW-8",0.124801,1,44,0x2440,0xA09A,0,"FCF5E83F2A99160A0B1B9B33EBBDE9515D57C6CA87CE868F61263628278A1F9063253C196533B5EC66404024"
