index,success,abs_start_detected,abs_start_fitted,samples_subtracted,alignment_correlation,fitted_cfo_hz,gain_real,gain_imag,power_before,power_after,suppression_db,fcs_pass,message
1,0,496652,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.012 is below threshold 0.100."
2,0,978572,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
3,0,1319428,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"A reliable repeated preamble was not found. Check receiver settings."
4,0,2431020,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.014 is below threshold 0.100."
5,0,2874924,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.014 is below threshold 0.100."
6,0,3205028,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
7,0,3498156,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Alignment correlation 0.039 is below threshold 0.100."
8,0,4365388,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 144860:207835."
9,0,4773680,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 144861:199644."
10,0,5888492,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
11,0,6492908,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 134113:144864."
12,0,6832364,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 188358
  required end (work)   : 456581 (buffer length 408501, short by 48080)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 337168 (recommended 387168)."
13,0,7029498,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
14,0,7220588,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 175150
  required end (work)   : 443373 (buffer length 408501, short by 34872)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 301662
  increase sample_num to at least 327414 (recommended 377414)."
15,0,7411020,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
16,1,7778186,7778186,234370,0.956497281,-12032.321,72.8765839,305.71624,662023.401,655890.283,0.0404214406,0,""
17,1,8522372,8522373,269911,0.856427727,1481.18869,852.001473,-614.474819,637031.914,568045.395,0.497781473,0,""
18,0,8913598,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 445093
  required end (work)   : 713316 (buffer length 541625, short by 171691)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 399969
  increase sample_num to at least 526757 (recommended 576757)."
19,0,9292068,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
20,1,9638276,9638277,320576,0.856776303,14502.6321,74.0616215,144.376189,653463.853,651829.361,0.0108765016,0,""
21,0,10796196,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Capture ends before SFD.
  preamble start (work) : 458302
  required end (work)   : 726525 (buffer length 503748, short by 222777)
  preamble_repetitions  : 256, SFD symbols: 8
  current sample_num    : 371998
  increase sample_num to at least 536511 (recommended 586511)."
22,0,11193424,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"Input ternarySymbols is too short: need samples 144857:208856."
23,0,11565548,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,"The decoded PSDU must contain a nonempty whole number of bytes."
