index,window_offset,abs_start_sample,abs_end_sample,time_start_ms,time_end_ms,detected_repetitions,sample_clock_error_ppm,cfo_hz,sfd_name,sfd_correlation,phr_secded_pass,psdu_length_bytes,fcs_received,fcs_calculated,fcs_pass,payload_hex
1,494400,496652,728313,0.673627,0.987838,262,0.000000,-1673.231572,"Decawave DW-8",0.951260,1,12,0x7D8B,0x7D8B,1,"61880CF2F002000100008B7D"
2,976320,978572,1210233,1.327273,1.641484,262,0.000000,-1693.085287,"Decawave DW-8",0.949938,1,12,0xFC34,0xFC34,1,"61880DF2F0020001000034FC"
3,1319616,1319428,1625186,1.789589,2.204300,162,-0.000000,-2730.043786,"Decawave DW-8",0.052272,1,98,0xA23D,0xA2EB,0,"7510E3F35B31865826D0113AF22825707007820AF408DCFCA2315D346FE445B363540867F94B26D3C31520500951C5A299290FC8040DEBC250919C23D69133E454F1EF244C3C69454988982946C39324C248F5791E023923E3938647C35EC5933DA2"
4,2428768,2431020,2662681,3.297282,3.611492,262,0.000000,-1667.928008,"Decawave DW-8",0.950998,1,12,0x9C2E,0x9C2E,1,"618811F2F002000100002E9C"
5,2872672,2874924,3106585,3.899365,4.213576,262,0.000000,-1652.000598,"Decawave DW-8",0.951005,1,12,0x16FE,0x16FE,1,"618812F2F00200010000FE16"
6,3205216,3205028,3482819,4.347097,4.723876,171,0.000000,-762.177005,"Decawave DW-8",0.044473,1,67,0x6992,0xF67A,0,"651303D0D776D3A9DBC96679F363CAAD80C737AAD8952C8381F5CDD225D110B4AFA215BBAD31430AF4CC0F9112ECE400079AAE90FD0DC6C1B9443BF50FFB6F00089269"
7,3495904,3498156,3729817,4.744678,5.058888,262,0.000000,-1694.505794,"Decawave DW-8",0.950029,1,12,0x9741,0x9741,1,"618813F2F002000100004197"
8,4363136,4365388,4597049,5.920936,6.235147,262,0.000000,-1657.776487,"Decawave DW-8",0.950912,1,12,0x0020,0x0020,1,"618816F2F002000100002000"
9,4774336,4773680,5040884,6.474718,6.837137,98,0.000000,-310.641730,"Decawave DW-8",0.023640,1,53,0x92BE,0xAD98,0,"DDEC3857972F8B549961281697D1ACF8DA0CAC4782481B08F214999C096C6125E47A90E6E6D62C2AB8740C9D0C60040AC282CABE92"
10,5886240,5888492,6120153,7.986778,8.300989,262,0.000000,-1659.610704,"Decawave DW-8",0.951573,1,12,0xBAFD,0xBAFD,1,"61881BF2F00200010000FDBA"
11,6490656,6492908,6724569,8.806570,9.120780,262,0.000000,-1659.610639,"Decawave DW-8",0.951574,1,12,0xBAFD,0xBAFD,1,"61881BF2F00200010000FDBA"
12,6830112,6832364,7064025,9.266987,9.581197,262,0.000000,-1666.190568,"Decawave DW-8",0.951175,1,12,0x26F3,0x26F3,1,"61881CF2F00200010000F326"
13,7029600,7029498,7258128,9.534367,9.844466,118,0.000000,-3224.422959,"Decawave DW-8",0.036540,1,8,0x7F43,0x205A,0,"DCC85D037256437F"
14,7218336,7220588,7452249,9.793549,10.107760,262,0.000000,-1671.012286,"Decawave DW-8",0.950588,1,12,0xA74C,0xA74C,1,"61881DF2F002000100004CA7"
15,7408768,7411020,7642681,10.051839,10.366050,262,0.000000,-1661.012193,"Decawave DW-8",0.951538,1,12,0xF019,0xF019,1,"618820F2F0020001000019F0"
16,7778592,7778186,8028374,10.549840,10.889179,129,0.000000,-940.743345,"Decawave DW-8",0.038516,0,63,0x0000,0x0000,0,""
17,8522560,8522372,8772560,11.559207,11.898546,146,0.000000,-2976.447631,"Decawave DW-8",0.029605,0,106,0x0000,0x0000,0,""
18,8913984,8913598,9243566,12.089841,12.537389,129,0.000000,-2938.940948,"Decawave DW-8",0.030446,1,124,0xC041,0x6095,0,"61098A1B7D5AA08D19B1908D222D26A3C2C8A44E0485F033079CB739E70ECE70D6CD13958DB49B05D201056880962B8A75F0CCA551C90E85361AAF688ADC1E156C46231798A357ECD0EA121B9FDD202B4BA4325E1BEF6E7769D050958850728846CE5397366773A2F0994198CA7C4CF4C0636F73695B2A4B151441C0"
19,9292480,9292068,9542256,12.603174,12.942513,129,-0.000000,-3469.119823,"Decawave DW-8",0.020792,0,10,0x0000,0x0000,0,""
20,9638464,9638276,9902445,13.072748,13.431051,172,0.000000,-761.594448,"Decawave DW-8",0.031408,1,49,0x3511,0x15ED,0,"CA98CE2AD5B4AE50012486348293404012D82C33FBC0C5698D4279021B00264494803D39FFA114764FB27D2038092D1135"
