index,success,abs_start_detected,abs_start_fitted,samples_subtracted,alignment_correlation,integer_alignment_correlation,fractional_delay_samples,fitted_cfo_hz,global_gain,phr_gain,payload_gain,frame_suppression_db,clipped_component_count,fcs_pass,message
1,1,149879,149879,133042,0.993980920251152,0.956512936291441,-0.35,-150.237880368669,1266.16238163493-2820.53833248808i,0.338572882386461+0.0283782553923762i,0.838023651682484+0.0743760910610871i,5.44970626942943,0,1,
2,1,2362776,2362776,133042,0.994485468453123,0.94948681830173,0.37,-236.408311749739,2417.57829046323+1940.47265984735i,0.339283126499497+0.0265024562682638i,0.839466869747267+0.0887558341366589i,5.52477165648875,0,1,
3,1,4573807,4573807,133042,0.995364135701588,0.966936775561537,-0.3,-91.0708735044893,-531.5480124518-3049.39816323609i,0.340785067440079-0.00437111062810757i,0.839195553004684+0.0792558740504985i,5.40927170573723,0,1,
4,1,6784891,6784891,133042,0.994597662785112,0.994189665007426,0,-183.328503119872,-2320.68318514203-2010.98204637245i,0.341434389433988+0.018099951343513i,0.838847125116101+0.0869916105682118i,5.42804818975185,0,1,
5,1,8995998,8995998,133042,0.995759705556396,0.992866825366251,-0.0999999999999999,-159.771660318,1914.48028875604+2408.60392777657i,0.340802358394393+0.0270112060463044i,0.841334262677693+0.069639990905117i,5.45945943292974,0,1,
6,1,11201777,11201777,133042,0.995373014978504,0.989849958749874,0.13,-146.832618621817,1764.55369098724-2524.70763347901i,0.341489855222087+0.0106855615813494i,0.840090330760773+0.0905049702703031i,5.46210730040243,0,1,
7,1,13421279,13421279,133042,0.994452729202171,0.985125155793418,-0.18,-146.768403772831,3038.51534764134-514.358006122499i,0.340705101892302+0.0191439637129939i,0.837916812306035+0.0922766341929299i,5.5129566439361,0,1,
8,1,15631967,15631967,133042,0.995638268891545,0.995553741009046,0,-154.140886454664,-2911.0877478528+981.050214146233i,0.341387675155164+0.0157661182117624i,0.843324577788321+0.0414139812753583i,5.58032602605785,0,1,
9,1,17843653,17843653,133042,0.994971030195938,0.977345049599753,0.24,-226.795237460112,1845.53347691354-2473.51228028296i,0.340928717696641+0.0247811739562863i,0.826300712309091+0.177097661131093i,5.45579778527329,0,1,
10,1,20065389,20065389,133042,0.992777162684149,0.940899567407577,0.41,-51.7330012470822,-3030.87449476071+585.048903749221i,0.339668206868565-4.24554211908029e-05i,0.840535429939163+0.0163241275458514i,5.32064807582204,0,1,
11,1,22268272,22268273,133042,0.994157756144432,0.993401314505348,-0.0499999999999999,-177.155433103789,3051.59547301922+308.826508062628i,0.339758418015335+0.0208943880062661i,0.838506207843689+0.0902648383483104i,5.3230576491372,0,1,
12,1,24479753,24479753,133042,0.994308926775432,0.990938197207396,-0.0999999999999999,-109.354566270546,-1787.28267065441+2495.61147315079i,0.338303295840114+0.0380572862699871i,0.837520428603863+0.0944670278753126i,5.54035699181576,0,1,
13,1,26693305,26693305,133042,0.994008614713015,0.919733650994061,0.48,-173.996717562852,-2543.03810366886+1772.78431160781i,0.341454228664737+0.0109876872523932i,0.838906082557522+0.0877476394908643i,5.3540829460291,0,1,
14,1,28902930,28902930,133042,0.995260931184035,0.987100691502714,-0.16,-235.877621357653,2457.42655917877-1854.8066903983i,0.339439176662903+0.0411924265591858i,0.84222168207301+0.0639028912982633i,5.37729457257633,0,1,
15,1,31115538,31115538,133042,0.994599590005863,0.957144709931146,0.34,-155.519715851243,388.1049743303+3072.82057336718i,0.340795950249806+0.0246822223968538i,0.837617426373568+0.103545319130737i,5.40638515794002,0,1,
