index,success,abs_start_detected,abs_start_fitted,samples_subtracted,alignment_correlation,integer_alignment_correlation,fractional_delay_samples,fitted_cfo_hz,global_gain,phr_gain,payload_gain,frame_suppression_db,clipped_component_count,fcs_pass,message
1,1,149879,149879,133042,0.994293232298429,0.948608458143858,-0.38,-150.241433324754,1300.27341482509-2809.61656894717i,0.831485472181196+0.0589744821022043i,0.838517136047995+0.0745775847867362i,8.16917503677487,0,1,
2,1,2362776,2362776,133042,0.994491781855326,0.949218710333708,0.37,-236.407958261779,2396.27378854228+1966.82118015354i,0.830796914252933+0.0817269121098845i,0.839383594010941+0.0887265953613334i,8.31759463151066,0,1,
3,1,4573807,4573807,133042,0.995754819646879,0.989309884554133,0.14,-91.1095480647241,-1025.54465531999-2905.22393372319i,0.837075607905663+0.0145328431046827i,0.841243144612971+0.0805217767982005i,8.15040165074867,0,1,
4,1,6784891,6784891,133042,0.994768969671889,0.99436089374594,0,-183.333839007853,-2318.34745812593-2014.51165566214i,0.832275610512284+0.0809613551476943i,0.839437605457067+0.0870106844762126i,8.15240371037606,0,1,
5,1,8995998,8995998,133042,0.995753936038148,0.992908301797908,-0.0999999999999999,-159.768422030653,1920.39674383147+2403.87392841399i,0.832967484664675+0.0667700682579192i,0.841262744791219+0.0695676388984637i,8.20212423212377,0,1,
6,1,11201777,11201777,133042,0.995407350970843,0.990489919072195,0.12,-146.828462120064,1784.91048836813-2509.62507652195i,0.835371001883075+0.0415904489050464i,0.84018857899285+0.0904899510773134i,8.21449409529318,0,1,
7,1,13421279,13421279,133042,0.994448455805359,0.985179310250316,-0.18,-146.774611726317,3036.71131012584-524.964094597462i,0.834267878437698+0.0423040402456166i,0.837874169109996+0.0922367212784044i,8.3017963001199,0,1,
8,1,15631967,15631967,133042,0.995628658224115,0.995544149595668,0,-154.14166417924,-2906.66726852151+993.976979139834i,0.835710909080929+0.0228970202289705i,0.843258423842777+0.0413778732163076i,8.43335535770993,0,1,
9,1,17843653,17843653,133042,0.994983061287456,0.977068204495732,0.24,-226.799097960969,1825.99814341845-2488.02381610373i,0.833059108997715+0.0781963537350855i,0.826184604495719+0.177046494648179i,8.19354796184654,0,1,
10,1,20065389,20065389,133042,0.994099127324971,0.960113531788475,0.33,-51.743167872564,-3044.54503242946+520.917030222282i,0.834893146486382-0.00239877474560259i,0.841929731069234+0.0166371282817966i,7.99341358177771,0,1,
11,1,22268272,22268273,133042,0.992458732039798,0.966750353164354,-0.29,-177.171513482347,3024.81893072639+563.588807622089i,0.829317041185492+0.0716124647005287i,0.836342854864966+0.08921129794472i,7.83281275581738,0,1,
12,1,24479753,24479753,133042,0.994783068077046,0.984739030049105,-0.18,-109.361693729904,-1822.95941191705+2479.24638535773i,0.830944571122802+0.0713962876614933i,0.837543023091326+0.0943786276057732i,8.35667380377322,0,1,
13,1,26693305,26693305,133042,0.994014060735475,0.919508872706662,0.48,-174.00161289402,-2561.3282896442+1746.31086048663i,0.833787473188808+0.0492653492575252i,0.838832385680407+0.0877181224589563i,7.99550309965569,0,1,
14,1,28902930,28902930,133042,0.995260889150758,0.987269861804618,-0.16,-235.879243783849,2444.32135474777-1872.06204419761i,0.832030813830623+0.0840222820847319i,0.842112999386318+0.0638543574185911i,8.04107372767781,0,1,
15,1,31115538,31115538,133042,0.994614200958128,0.956981734774458,0.34,-155.523682470298,399.453682114079+3071.46130307475i,0.830788158835641+0.0891267809886745i,0.83756370079424+0.103504045019235i,8.09773744526808,0,1,
16,1,33318865,33318865,133042,0.995613957744978,0.995606916761718,0,-186.219677493407,-2967.59154446405-798.563717275217i,0.833233346091914+0.0799130678990735i,0.84373873411635+0.0713182917665842i,8.09853095913258,0,1,
17,1,35538935,35538935,133042,0.995105563031429,0.921020828495981,-0.48,-87.2791603381903,-1702.42558478297-2593.51038689625i,0.832536893321203+0.0441254093426759i,0.838302235983913+0.088587334545181i,8.13877543105997,0,1,
18,1,37751088,37751088,133042,0.994877093322133,0.991406112472985,-0.11,-49.7444787162138,-3043.62821782199+451.70253425722i,0.835321982954953-0.00535623511672574i,0.843585890742855+0.006179373730606i,8.16588964729916,0,1,
19,1,39961905,39961905,133042,0.995312873549183,0.977573333258455,0.24,-182.283598286163,2117.25288886243+2248.43142421308i,0.835345229283054+0.0336981752638311i,0.838454324281895+0.099151536088976i,8.26701546851092,0,1,
20,1,42182140,42182140,133042,0.995577526756894,0.984142022032839,0.19,-73.660063062434,2764.23654071043-1367.6156319761i,0.835266312271289+0.0555265872444477i,0.84462471226874+0.0205574363442921i,8.1283775504785,0,1,
21,1,44386064,44386064,133042,0.995470761064276,0.990320247070759,0.13,-163.426037863312,935.6883145153-2930.02014357768i,0.83448305315817+0.0583607289987577i,0.842097825255162+0.077125392465059i,8.31724549333016,0,1,
22,1,46598017,46598017,133042,0.994853859784802,0.942443811572165,-0.41,-242.499185577711,-2993.3077267661+808.692637446564i,0.827085189410313+0.0989791273850642i,0.827604978832718+0.153464185154257i,7.96423681122751,0,1,
23,1,48810867,48810867,133042,0.995150444528528,0.985154816774331,-0.18,-236.706249576553,-2834.16638638713+1204.37662094373i,0.832515656253453+0.0465576775542547i,0.834906532042532+0.122495217093461i,8.14577753865344,0,1,
24,1,51021584,51021584,133042,0.995030460706809,0.993196912302454,0.0699999999999999,-226.270217302017,-3048.9275466693+412.348641960082i,0.832250670179333+0.0885503954292337i,0.838190172454682+0.11090565013239i,8.25296585163215,0,1,
25,1,53233890,53233890,133042,0.993963510506666,0.940908957461481,0.4,-133.226116803241,1891.51599576994+2460.73376355944i,0.833295887947092+0.0474641695672061i,0.83720537845293+0.0974623660989046i,7.97990078772095,0,1,
26,1,55455378,55455378,133042,0.994933816790128,0.986720172221218,-0.16,-162.829628041861,-437.594334848288+3051.45890146053i,0.829703684613336+0.0882899550087177i,0.842131752825428+0.0532419588933141i,8.0769505889435,0,1,
