index,abs_start_sample,abs_end_sample,time_start_ms,time_end_ms,sfd_name,sfd_correlation,phr_secded_pass,psdu_length_bytes,fcs_received,fcs_calculated,fcs_pass,payload_hex
1,2450508,2587647,3.323714,3.509721,"IEEE 802.15.4z SFD #2",0.863233,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
2,9778219,9912334,13.262558,13.444463,"IEEE 802.15.4z SFD #2",0.603593,1,10,0x1134,0x43B5,0,"0E368BB9BBE9B9333411"
3,13528363,13666259,18.349017,18.536050,"IEEE 802.15.4z SFD #2",0.638957,1,15,0xD8F0,0x7DF7,0,"0F3681131143133134111312DAF0D8"
4,17196716,17333854,23.324539,23.510544,"IEEE 802.15.4z SFD #2",0.867167,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
5,24530188,24666571,33.271197,33.456178,"IEEE 802.15.4z SFD #2",0.541113,1,13,0x70B9,0xF932,0,"0E362C13114313313411C3B970"
6,28201996,28339892,38.251405,38.438439,"IEEE 802.15.4z SFD #2",0.633052,1,15,0xD8F0,0xB1CC,0,"0F3629131143133134111312DAF0D8"
7,39252203,39389340,53.239208,53.425212,"IEEE 802.15.4z SFD #2",0.554948,1,14,0x5A70,0xA0B1,0,"7C87291A955C0339C944BEAE705A"
8,43013867,43151007,58.341291,58.527299,"IEEE 802.15.4z SFD #2",0.665653,1,14,0xF0DA,0x7861,0,"A51C81131143133134111312DAF0"
9,46696427,46833565,63.336083,63.522088,"IEEE 802.15.4z SFD #2",0.855985,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
10,54037963,54194007,73.293678,73.505326,"IEEE 802.15.4z SFD #2",0.550366,1,39,0x797B,0x7C95,0,"5F638BB9BBE9B99B9EBBE9BB705A72C71B5020107043B62D1F06EB3F00200BF36A3F82FA9D7B79"
11,61460231,61597369,83.360773,83.546779,"IEEE 802.15.4z SFD #2",0.856715,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
12,65112140,65249279,88.313992,88.499999,"IEEE 802.15.4z SFD #2",0.841310,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
13,68778795,68915932,93.287211,93.473215,"IEEE 802.15.4z SFD #2",0.589931,1,14,0x0F25,0x4F88,0,"7C273C1A11531331C9EEBCEE250F"
14,72492459,72629597,98.324190,98.510196,"IEEE 802.15.4z SFD #2",0.845398,1,14,0x0D65,0x879C,0,"3D05AD8A88DA8AA8AD181E86650D"
15,76114731,76247332,103.237211,103.417063,"IEEE 802.15.4z SFD #2",0.664016,1,8,0x3113,0x94AA,0,"A49C3C1311431331"
16,83509644,83646781,113.267204,113.453208,"IEEE 802.15.4z SFD #2",0.599078,1,14,0xF0DA,0x6314,0,"7C87291A1156833B34114313DAF0"
17,87249036,87386174,118.339079,118.525084,"IEEE 802.15.4z SFD #2",0.870449,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
18,90875147,91012285,123.257307,123.443312,"IEEE 802.15.4z SFD #2",0.836973,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
19,113059050,113196190,153.346151,153.532159,"IEEE 802.15.4z SFD #2",0.652911,1,14,0xA58F,0x5948,0,"3D05AD8A88DA8AA8AD191E068FA5"
20,120439755,120576893,163.356873,163.542878,"IEEE 802.15.4z SFD #2",0.844374,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
21,172023148,172160287,233.321327,233.507334,"IEEE 802.15.4z SFD #2",0.857191,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
22,179343179,179480316,243.249755,243.435758,"IEEE 802.15.4z SFD #2",0.612096,1,14,0xF0DA,0x3D5C,0,"7487C14C4416466461441612DAF0"
23,242048203,242180804,328.298886,328.478738,"IEEE 802.15.4z SFD #2",0.738733,1,8,0x3113,0x94AA,0,"A49C3C1311431331"
24,253086892,253223275,343.271067,343.456048,"IEEE 802.15.4z SFD #2",0.614075,1,13,0x70B8,0x958B,0,"0E36811311431331341193B870"
25,271532939,271670077,368.290119,368.476124,"IEEE 802.15.4z SFD #2",0.863130,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
26,275206668,275339270,373.272933,373.452786,"IEEE 802.15.4z SFD #2",0.672416,1,8,0x3113,0x94AA,0,"A49C3C1311431331"
27,337847788,337980390,458.235390,458.415243,"IEEE 802.15.4z SFD #2",0.532209,1,8,0x3113,0x395C,0,"A49C291311431331"
28,348901612,349038751,473.228098,473.414105,"IEEE 802.15.4z SFD #2",0.841489,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
29,352610668,352787885,478.258827,478.499193,"IEEE 802.15.4z SFD #2",0.622008,1,61,0x2E26,0xCB97,0,"0E369EB9BBE9B99B9EBBE9BB705A72C71B2F47051AAC5181D5798400CCEB0E0E76E69B98F8434E30F5DDC7D7266D64A67C143DB11088AF59AF77E1262E"
30,360056651,360193789,488.358088,488.544093,"IEEE 802.15.4z SFD #2",0.840876,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
31,363648043,363785180,493.229225,493.415229,"IEEE 802.15.4z SFD #2",0.611930,1,14,0x5A70,0xED3B,0,"7C67234E445613313411C3B9705A"
32,385835788,385972926,523.323280,523.509285,"IEEE 802.15.4z SFD #2",0.866466,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
33,393139691,393276831,533.229833,533.415841,"IEEE 802.15.4z SFD #2",0.760567,1,14,0xF0DA,0xA95E,0,"1F838BA9BB41432464441612DAF0"
34,404220780,404357918,548.259521,548.445527,"IEEE 802.15.4z SFD #2",0.844984,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
35,422689099,422826239,573.308782,573.494790,"IEEE 802.15.4z SFD #2",0.629390,1,14,0xF0DA,0xB97F,0,"A54929131143133164441612DAF0"
36,437377707,437514091,593.231482,593.416465,"IEEE 802.15.4z SFD #2",0.562263,1,13,0x70BA,0xF7FA,0,"0E368BB9BBE9B99B9EBBB9BA70"
37,444811564,444948703,603.314296,603.500302,"IEEE 802.15.4z SFD #2",0.842091,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
38,455889035,456026173,618.339077,618.525083,"IEEE 802.15.4z SFD #2",0.851340,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
39,481616332,481754228,653.233957,653.420991,"IEEE 802.15.4z SFD #2",0.615863,1,15,0x725A,0x8B05,0,"0E368B13114313319C1193B8705A72"
40,489067084,489195149,663.339686,663.513386,"IEEE 802.15.4z SFD #2",0.629297,1,2,0xC9F5,0x0000,0,"F5C9"
41,507441707,507578849,688.261864,688.447875,"IEEE 802.15.4z SFD #2",0.514144,1,14,0x68DA,0x2BF3,0,"6F16A5834C96CA8E8D80E91ADA68"
42,522170636,522307775,708.239252,708.425259,"IEEE 802.15.4z SFD #2",0.829402,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
43,533273452,533410591,723.298410,723.484417,"IEEE 802.15.4z SFD #2",0.852333,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
44,551659212,551796351,748.235693,748.421700,"IEEE 802.15.4z SFD #2",0.831788,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
45,570164619,570301757,773.335258,773.521263,"IEEE 802.15.4z SFD #2",0.864656,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
46,588570732,588707115,798.300146,798.485128,"IEEE 802.15.4z SFD #2",0.569240,1,13,0x70B8,0xF7FA,0,"0E368BB9BBE9B99B9EBBB9B870"
47,632775564,632903628,858.256787,858.430485,"IEEE 802.15.4z SFD #2",0.676829,1,2,0xC9F5,0x0000,0,"F5C9"
48,647503339,647640476,878.232610,878.418614,"IEEE 802.15.4z SFD #2",0.624441,1,14,0x5A70,0x4FAE,0,"F1CDC14C44164664614496B8705A"
49,654890123,655027261,888.251577,888.437583,"IEEE 802.15.4z SFD #2",0.869026,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
50,658581356,658718495,893.258133,893.444139,"IEEE 802.15.4z SFD #2",0.835853,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
51,662250315,662387452,898.234477,898.420481,"IEEE 802.15.4z SFD #2",0.552746,1,14,0x0F25,0xB58D,0,"29873C9A4FD6A96EC9EEBCEE250F"
52,665965131,666102271,903.273018,903.459026,"IEEE 802.15.4z SFD #2",0.669962,1,14,0xF0DA,0x8915,0,"A48984131143133134111312DAF0"
53,669714507,669851645,908.358435,908.544440,"IEEE 802.15.4z SFD #2",0.865704,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
54,677018796,677175596,918.265511,918.478185,"IEEE 802.15.4z SFD #2",0.552455,1,40,0x1531,0xE8E6,0,"0E362C13114313313411C3B9705A72C71B506030859E862C72439CA41BFBA111ADD1B9A900EA3115"
55,684463317,684600456,928.362789,928.548796,"IEEE 802.15.4z SFD #2",0.863900,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
