index,slot,abs_start,time_ms,expected_ms,delta_ms,sfd,sfd_corr,sync_reps,psdu_len,fcs_pass
1,0,1752252,2.376644,2.376644,0.000000,"IEEE 802.15.4z SFD #2",0.8631,134,14,1
2,1,5440904,7.379698,7.376644,5.003054,"IEEE 802.15.4z SFD #2",0.8542,136,14,1
3,3,12813704,17.379698,17.376644,10.000000,"IEEE 802.15.4z SFD #2",0.8570,136,14,1
4,4,16400103,22.244063,22.376644,4.864365,"IEEE 802.15.4z SFD #2",0.8671,136,14,1
5,5,20286504,27.515332,27.376644,5.271269,"IEEE 802.15.4z SFD #2",0.8294,136,14,1
6,6,23972904,32.515332,32.376644,5.000000,"IEEE 802.15.4z SFD #2",0.8092,85,14,0
7,7,27659303,37.515331,37.376644,4.999999,"IEEE 802.15.4z SFD #2",0.8661,136,14,1
8,8,31245704,42.379698,42.376644,4.864368,"IEEE 802.15.4z SFD #2",0.8650,136,14,1
9,9,35032103,47.515331,47.376644,5.135632,"IEEE 802.15.4z SFD #2",0.8485,136,14,1
10,10,38718503,52.515331,52.376644,5.000000,"IEEE 802.15.4z SFD #2",0.8361,105,14,1
11,11,42304904,57.379698,57.376644,4.864368,"IEEE 802.15.4z SFD #2",0.8703,136,14,1
12,12,45991303,62.379697,62.376644,4.999999,"IEEE 802.15.4z SFD #2",0.8560,128,14,1
13,13,49677704,67.379698,67.376644,5.000001,"IEEE 802.15.4z SFD #2",0.8456,136,14,1
14,14,53464104,72.515332,72.376644,5.135634,"IEEE 802.15.4z SFD #2",0.8348,125,14,1
15,15,57150504,77.515332,77.376644,5.000000,"IEEE 802.15.4z SFD #2",0.8708,136,14,1
16,16,60636904,82.244065,82.376644,4.728733,"IEEE 802.15.4z SFD #2",0.8544,136,14,1
17,17,64523304,87.515332,87.376644,5.271267,"IEEE 802.15.4z SFD #2",0.8469,136,14,1
18,18,68009703,92.244063,92.376644,4.728731,"IEEE 802.15.4z SFD #2",0.8447,128,14,1
19,19,71796104,97.379698,97.376644,5.135635,"IEEE 802.15.4z SFD #2",0.8682,136,14,1
20,20,75482504,102.379698,102.376644,5.000000,"IEEE 802.15.4z SFD #2",0.8576,136,14,1
21,21,79068904,107.244065,107.376644,4.864366,"IEEE 802.15.4z SFD #2",0.8537,136,14,1
22,22,82755304,112.244065,112.376644,5.000000,"IEEE 802.15.4z SFD #2",0.8647,136,14,1
23,23,86541703,117.379697,117.376644,5.135632,"IEEE 802.15.4z SFD #2",0.8676,118,14,1
24,24,90228104,122.379698,122.376644,5.000001,"IEEE 802.15.4z SFD #2",0.8369,136,14,1
25,25,93814504,127.244065,127.376644,4.864366,"IEEE 802.15.4z SFD #2",0.6283,55,14,0
26,26,97600903,132.379697,132.376644,5.135632,"IEEE 802.15.4z SFD #2",0.8698,136,14,1
27,27,101287304,137.379698,137.376644,5.000001,"IEEE 802.15.4z SFD #2",0.8624,136,14,1
28,28,105073704,142.515332,142.376644,5.135634,"IEEE 802.15.4z SFD #2",0.6190,63,7,0
29,29,108660103,147.379697,147.376644,4.864365,"IEEE 802.15.4z SFD #2",0.5728,48,14,0
30,30,112246503,152.244063,152.376644,4.864366,"IEEE 802.15.4z SFD #2",0.8687,136,14,1
31,31,116032903,157.379697,157.376644,5.135634,"IEEE 802.15.4z SFD #2",0.8722,136,14,1
32,32,119719303,162.379697,162.376644,5.000000,"IEEE 802.15.4z SFD #2",0.8441,136,14,1
33,33,123505703,167.515331,167.376644,5.135634,"IEEE 802.15.4z SFD #2",0.8235,92,14,0
34,34,127192103,172.515331,172.376644,5.000000,"IEEE 802.15.4z SFD #2",0.8720,136,14,1
35,35,130778504,177.379698,177.376644,4.864368,"IEEE 802.15.4z SFD #2",0.8702,136,14,1
36,36,134464903,182.379697,182.376644,4.999999,"IEEE 802.15.4z SFD #2",0.8462,136,14,1
37,37,138151304,187.379698,187.376644,5.000001,"IEEE 802.15.4z SFD #2",0.8384,110,14,1
38,38,141837704,192.379698,192.376644,5.000000,"IEEE 802.15.4z SFD #2",0.8684,136,14,1
