index,time_ms,ok,n_pre_bins,fp_delay_ns,fp_idx,P_signal,P_interf_mean,P_interf_max,sir_db,sir_peak_db,prepath_floor_db,fcs_pass
1,2.376644,1,14,1.001603,17,3.838505e-01,8.182883e-06,9.756396e-05,46.7126,35.9487,-46.7126,1
2,7.379698,1,14,1.001603,17,3.166119e-01,1.968161e-04,4.961071e-04,32.0647,28.0495,-32.0647,1
3,17.379698,1,14,1.001603,17,3.988572e-01,2.747104e-05,3.692081e-04,41.6194,30.3355,-41.6194,1
4,22.244063,1,14,1.001603,17,2.763645e-01,3.259868e-06,1.178775e-05,49.2828,43.7005,-49.2828,1
5,27.515332,1,14,1.001603,17,3.960849e-01,2.511663e-04,6.790865e-04,31.9783,27.6586,-31.9783,1
6,32.515332,1,14,1.001603,17,3.795068e-01,1.067672e-04,4.023508e-04,35.5078,29.7461,-35.5078,0
7,37.515331,1,14,1.001603,17,2.285020e-01,1.157828e-06,5.240753e-06,52.9525,46.3950,-52.9525,1
8,42.379698,1,14,1.001603,17,3.595429e-01,3.651749e-06,2.936289e-05,49.9325,40.8795,-49.9325,1
9,47.515331,1,14,1.001603,17,3.163668e-01,1.258924e-04,4.092942e-04,34.0019,28.8816,-34.0019,1
10,52.515331,1,14,1.001603,17,3.567391e-01,1.423571e-04,2.792663e-04,33.9897,31.0633,-33.9897,1
11,57.379698,1,14,1.001603,17,2.237251e-01,1.089836e-06,6.050621e-06,53.1235,45.6791,-53.1235,1
12,62.379697,1,14,1.001603,17,2.679939e-01,2.173452e-06,7.560789e-06,50.9097,45.4956,-50.9097,1
13,67.379698,1,14,1.001603,17,3.153987e-01,1.730106e-04,4.187285e-04,32.6079,28.7693,-32.6079,1
14,72.515332,1,14,1.001603,17,2.727449e-01,1.649915e-05,1.053304e-04,42.1830,34.1320,-42.1830,1
15,77.515332,1,14,1.001603,17,3.130578e-01,1.361148e-06,5.220791e-06,53.6172,47.7789,-53.6172,1
16,82.244065,1,14,1.001603,17,2.642782e-01,2.763161e-06,8.227918e-06,49.8066,45.0677,-49.8066,1
17,87.515332,1,14,1.001603,17,3.773279e-01,8.965932e-05,3.595092e-04,36.2412,30.2101,-36.2412,1
18,92.244063,1,14,1.001603,17,3.515325e-01,2.709385e-06,1.726406e-05,51.1309,43.0882,-51.1309,1
