index,window_offset,abs_start_sample,abs_end_sample,time_start_ms,time_end_ms,detected_repetitions,sample_clock_error_ppm,cfo_hz,sfd_name,sfd_correlation,phr_secded_pass,psdu_length_bytes,fcs_received,fcs_calculated,fcs_pass,payload_hex
1,2448256,2450508,2587647,3.323714,3.509721,136,0.316955,-2252.260733,"IEEE 802.15.4z SFD #2",0.863233,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
2,9775968,9778219,9912334,13.262558,13.444463,51,-0.000000,-11618.141962,"IEEE 802.15.4z SFD #2",0.603593,1,10,0x1134,0x43B5,0,"0E368BB9BBE9B9333411"
3,13526112,13528363,13666259,18.349017,18.536050,54,0.000000,-11192.543632,"IEEE 802.15.4z SFD #2",0.638957,1,15,0xD8F0,0x7DF7,0,"0F3681131143133134111312DAF0D8"
4,17194464,17196716,17333854,23.324539,23.510544,136,0.000000,-2154.217829,"IEEE 802.15.4z SFD #2",0.867167,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
5,20929152,20929062,21083215,28.386857,28.595940,52,-0.000000,-84.260263,"Decawave DW-8",0.029612,0,38,0x0000,0x0000,0,""
6,24527936,24530188,24666571,33.271197,33.456178,50,0.000000,-12228.963306,"IEEE 802.15.4z SFD #2",0.541113,1,13,0x70B9,0xF932,0,"0E362C13114313313411C3B970"
7,28199744,28201996,28339892,38.251405,38.438439,53,0.000000,-11523.044785,"IEEE 802.15.4z SFD #2",0.633052,1,15,0xD8F0,0xB1CC,0,"0F3629131143133134111312DAF0D8"
8,31984448,31984374,32138527,43.381584,43.590667,116,0.000000,1620.724123,"IEEE 802.15.4z SFD #2",0.034994,0,97,0x0000,0x0000,0,""
9,35667264,35666881,35821033,48.376303,48.585385,121,-0.000000,352.503130,"IEEE 802.15.4z SFD #2",0.048726,0,13,0x0000,0x0000,0,""
10,39249952,39252203,39389340,53.239208,53.425212,51,-0.000000,-12355.617157,"IEEE 802.15.4z SFD #2",0.554948,1,14,0x5A70,0xA0B1,0,"7C87291A955C0339C944BEAE705A"
11,43011616,43013867,43151007,58.341291,58.527299,53,0.000000,-11249.746242,"IEEE 802.15.4z SFD #2",0.665653,1,14,0xF0DA,0x7861,0,"A51C81131143133134111312DAF0"
12,46694176,46696427,46833565,63.336083,63.522088,136,-0.000000,-2133.135422,"IEEE 802.15.4z SFD #2",0.855985,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
13,54035712,54037963,54194007,73.293678,73.505326,51,-0.000000,-12254.772089,"IEEE 802.15.4z SFD #2",0.550366,1,39,0x797B,0x7C95,0,"5F638BB9BBE9B99B9EBBE9BB705A72C71B5020107043B62D1F06EB3F00200BF36A3F82FA9D7B79"
14,57795712,57795305,57949458,78.389899,78.598983,107,0.000000,332.745478,"IEEE 802.15.4z SFD #2",0.027423,0,12,0x0000,0x0000,0,""
15,61461504,61460231,61597369,83.360773,83.546779,135,0.000000,-1903.743669,"IEEE 802.15.4z SFD #2",0.856715,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
16,65109888,65112140,65249279,88.313992,88.499999,136,1.239648,-2100.290573,"IEEE 802.15.4z SFD #2",0.841310,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
