index,window_offset,abs_start_sample,abs_end_sample,time_start_ms,time_end_ms,detected_repetitions,sample_clock_error_ppm,cfo_hz,sfd_name,sfd_correlation,phr_secded_pass,psdu_length_bytes,fcs_received,fcs_calculated,fcs_pass,payload_hex
1,2490208,2492460,2724121,3.380615,3.694826,60,0.000000,-968.494137,"Decawave DW-8",0.863803,1,12,0xF7E2,0xF7E2,1,"6188B5F2F00200010000E2F7"
2,6188096,6190348,6422009,8.396197,8.710407,66,0.000000,-916.147788,"Decawave DW-8",0.863611,1,12,0xD131,0xD131,1,"6188BFF2F0020001000031D1"
3,9784800,9787052,10037240,13.274539,13.613878,242,0.001250,4750.851146,"Decawave DW-8",0.678870,0,12,0x0000,0x0000,0,""
4,13570944,13573194,13804855,18.409823,18.724033,59,-3.336447,-434.792102,"Decawave DW-8",0.866705,1,12,0xB8ED,0xB8ED,1,"6188D2F2F00200010000EDB8"
5,20936448,20938700,21170361,28.399929,28.714140,52,0.000000,-776.267311,"Decawave DW-8",0.861571,1,12,0x43BB,0x43BB,1,"6188E6F2F00200010000BB43"
6,24536768,24539020,24770681,33.283176,33.597386,228,0.000000,-1357.036917,"Decawave DW-8",0.863481,1,12,0xEFB8,0xEFB8,1,"6188EFF2F00200010000B8EF"
7,28290048,28292300,28523961,38.373888,38.688098,58,0.000000,-903.078047,"Decawave DW-8",0.863322,1,12,0xA971,0xA971,1,"6188F9F2F0020001000071A9"
8,31973504,31975756,32207417,43.369895,43.684105,49,0.000000,-700.405555,"Decawave DW-8",0.862393,1,12,0xCC39,0xCC39,1,"618803F2F0020001000039CC"
9,35663168,35665419,35897080,48.374320,48.688531,162,-0.000000,-1302.239801,"Decawave DW-8",0.863588,1,12,0xFC34,0xFC34,1,"61880DF2F0020001000034FC"
10,39356832,39359083,39590746,53.384173,53.698386,202,6.204143,-2030.506357,"Decawave DW-8",0.861940,1,12,0x0020,0x0020,1,"618816F2F002000100002000"
11,43035904,43038155,43269816,58.374234,58.688444,51,-0.000000,-798.799122,"Decawave DW-8",0.862231,1,12,0xF019,0xF019,1,"618820F2F0020001000019F0"
12,46740480,46742731,46974392,63.398886,63.713097,212,0.000000,-1357.240553,"Decawave DW-8",0.864163,1,12,0xD6CA,0xD6CA,1,"61882AF2F00200010000CAD6"
13,50437888,50438115,50680359,68.411072,68.739636,176,0.250234,-1746.024203,"Decawave DW-8",0.032748,1,26,0x5D50,0x77FA,0,"ADBB15807657282626B6CE24014D144DE9883183B65507BA505D"
14,61469568,61471820,61703481,83.376492,83.690702,67,0.000000,-1034.530483,"Decawave DW-8",0.863073,1,12,0xF9DF,0xF9DF,1,"618851F2F00200010000DFF9"
15,65161120,65163371,65395032,88.383478,88.697689,262,-0.000000,-1330.458132,"Decawave DW-8",0.864417,1,12,0x4302,0x4302,1,"61885CF2F002000100000243"
16,68847392,68849644,69081305,93.383306,93.697517,153,0.000000,-1278.615909,"Decawave DW-8",0.862570,1,12,0x8336,0x8336,1,"618864F2F002000100003683"
17,72532160,72534412,72766073,98.381093,98.695303,50,0.000000,-811.602584,"Decawave DW-8",0.862763,1,12,0xA5E5,0xA5E5,1,"61886EF2F00200010000E5A5"
18,76215072,76217323,76448984,103.376360,103.690571,67,-0.000000,-1036.108939,"Decawave DW-8",0.862363,1,12,0xE32C,0xE32C,1,"618878F2F002000100002CE3"
19,79905632,79905543,80155731,108.378829,108.718168,208,0.000000,-1372.067872,"IEEE legacy/BPRF SFD #0",0.021727,0,92,0x0000,0x0000,0,""
20,83594304,83596556,83828218,113.385086,113.699297,94,0.760864,-1314.022313,"Decawave DW-8",0.865209,1,12,0x2A67,0x2A67,1,"61888BF2F00200010000672A"
21,87272096,87274347,87506008,118.373409,118.687619,73,-0.000000,-1047.242856,"Decawave DW-8",0.862121,1,12,0x4112,0x4112,1,"618895F2F002000100001241"
22,90888480,90887940,91152883,123.274658,123.634010,63,0.000000,-1260.177951,"Decawave DW-8",0.039921,1,50,0x7D32,0x445B,0,"BC1A37F811669443C3E40570053AF80791F532312F6F78B9494528C831D13429570019C4344234E6D96A104D1AE8673B327D"
