index,time_start_ms,time_end_ms,sfd,sfd_corr,psdu,fcs,recovered
1,3.323714,3.509721,"IEEE 802.15.4z SFD #2",0.8632,14,1,0
2,7.473277,7.658093,"IEEE 802.15.4z SFD #2",0.8546,14,1,1
3,7.744546,7.929362,"IEEE 802.15.4z SFD #2",0.8546,14,1,1
4,8.287080,8.471895,"IEEE 802.15.4z SFD #2",0.8546,14,1,1
5,13.262558,13.444463,"IEEE 802.15.4z SFD #2",0.6036,10,0,0
6,18.349017,18.536050,"IEEE 802.15.4z SFD #2",0.6390,15,0,0
7,23.324539,23.510544,"IEEE 802.15.4z SFD #2",0.8672,14,1,0
8,27.474102,27.658919,"IEEE 802.15.4z SFD #2",0.8296,14,1,1
9,27.745369,27.930185,"IEEE 802.15.4z SFD #2",0.7741,14,0,1
10,28.287904,28.472721,"IEEE 802.15.4z SFD #2",0.8296,14,1,1
11,33.271197,33.456178,"IEEE 802.15.4z SFD #2",0.5411,13,0,0
12,38.251405,38.438439,"IEEE 802.15.4z SFD #2",0.6331,15,0,0
13,42.401997,42.586812,"IEEE 802.15.4z SFD #2",0.8649,14,1,1
14,42.673264,42.858080,"IEEE 802.15.4z SFD #2",0.8649,14,1,1
15,42.944531,43.129348,"IEEE 802.15.4z SFD #2",0.8607,14,1,1
16,43.215799,43.400614,"IEEE 802.15.4z SFD #2",0.8649,14,1,1
17,47.284809,47.469625,"IEEE 802.15.4z SFD #2",0.8488,14,1,1
18,47.556076,47.740892,"IEEE 802.15.4z SFD #2",0.8489,14,1,1
19,47.827344,48.012161,"IEEE 802.15.4z SFD #2",0.8348,14,1,1
20,48.098611,48.283427,"IEEE 802.15.4z SFD #2",0.8488,14,1,1
21,53.239208,53.425212,"IEEE 802.15.4z SFD #2",0.5549,14,0,0
22,58.341291,58.527299,"IEEE 802.15.4z SFD #2",0.6657,14,0,0
23,63.336083,63.522088,"IEEE 802.15.4z SFD #2",0.8560,14,1,0
24,67.214379,67.399194,"IEEE 802.15.4z SFD #2",0.8460,14,1,1
25,67.485645,67.670460,"IEEE 802.15.4z SFD #2",0.8460,14,1,1
26,67.756913,67.941730,"IEEE 802.15.4z SFD #2",0.8418,14,1,1
27,68.028181,68.212996,"IEEE 802.15.4z SFD #2",0.8460,14,1,1
28,68.299447,68.484262,"IEEE 802.15.4z SFD #2",0.8460,14,1,1
29,73.293678,73.505326,"IEEE 802.15.4z SFD #2",0.5504,39,0,0
30,77.197617,77.382433,"IEEE 802.15.4z SFD #2",0.8708,14,1,1
31,77.468883,77.653699,"IEEE 802.15.4z SFD #2",0.8622,14,1,1
32,77.740152,77.924967,"IEEE 802.15.4z SFD #2",0.8708,14,1,1
33,78.011419,78.196235,"IEEE 802.15.4z SFD #2",0.8708,14,1,1
34,78.282685,78.467501,"IEEE 802.15.4z SFD #2",0.8622,14,1,1
35,83.360773,83.546779,"IEEE 802.15.4z SFD #2",0.8567,14,1,0
36,88.313992,88.499999,"IEEE 802.15.4z SFD #2",0.8413,14,1,0
37,93.287211,93.473215,"IEEE 802.15.4z SFD #2",0.5899,14,0,0
38,98.324190,98.510196,"IEEE 802.15.4z SFD #2",0.8454,14,0,0
39,103.237211,103.417063,"IEEE 802.15.4z SFD #2",0.6640,8,0,0
40,107.651888,107.836705,"IEEE 802.15.4z SFD #2",0.8430,14,1,1
41,107.923155,108.107971,"IEEE 802.15.4z SFD #2",0.8389,14,1,1
42,113.267204,113.453208,"IEEE 802.15.4z SFD #2",0.5991,14,0,0
43,118.339079,118.525084,"IEEE 802.15.4z SFD #2",0.8704,14,1,0
44,123.257307,123.443312,"IEEE 802.15.4z SFD #2",0.8370,14,1,0
45,127.406870,127.591687,"IEEE 802.15.4z SFD #2",0.6210,14,0,1
46,127.678137,127.862956,"IEEE 802.15.4z SFD #2",0.6284,14,0,1
47,127.949405,128.134222,"IEEE 802.15.4z SFD #2",0.6207,14,0,1
48,128.220672,128.405489,"IEEE 802.15.4z SFD #2",0.6210,14,0,1
49,132.289681,132.474497,"IEEE 802.15.4z SFD #2",0.8698,14,1,1
50,132.560950,132.745767,"IEEE 802.15.4z SFD #2",0.8559,14,1,1
51,132.832217,133.017033,"IEEE 802.15.4z SFD #2",0.8698,14,1,1
52,133.103483,133.288299,"IEEE 802.15.4z SFD #2",0.8698,14,1,1
53,137.443761,137.628577,"IEEE 802.15.4z SFD #2",0.8647,14,1,1
54,137.715030,137.899845,"IEEE 802.15.4z SFD #2",0.8647,14,1,1
55,137.986297,138.171114,"IEEE 802.15.4z SFD #2",0.8625,14,1,1
56,138.257563,138.442379,"IEEE 802.15.4z SFD #2",0.8647,14,1,1
57,142.326575,142.511391,"IEEE 802.15.4z SFD #2",0.8282,14,1,1
58,143.140377,143.325193,"IEEE 802.15.4z SFD #2",0.8282,14,1,1
59,147.751921,147.936735,"IEEE 802.15.4z SFD #2",0.5745,14,0,1
60,153.346151,153.532159,"IEEE 802.15.4z SFD #2",0.6529,14,0,0
61,157.224449,157.409266,"IEEE 802.15.4z SFD #2",0.8696,14,1,1
62,157.495715,157.680531,"IEEE 802.15.4z SFD #2",0.8722,14,1,1
63,157.766984,157.951800,"IEEE 802.15.4z SFD #2",0.8721,14,1,1
64,158.038251,158.223069,"IEEE 802.15.4z SFD #2",0.8696,14,1,1
65,158.309517,158.494333,"IEEE 802.15.4z SFD #2",0.8722,14,1,1
66,163.356873,163.542878,"IEEE 802.15.4z SFD #2",0.8444,14,1,0
67,167.235167,167.419983,"IEEE 802.15.4z SFD #2",0.8249,14,0,1
68,167.506434,167.691250,"IEEE 802.15.4z SFD #2",0.8128,14,0,1
69,167.777703,167.962522,"IEEE 802.15.4z SFD #2",0.6321,14,0,1
70,168.048969,168.233785,"IEEE 802.15.4z SFD #2",0.8249,14,0,1
71,168.320237,168.505052,"IEEE 802.15.4z SFD #2",0.8128,14,0,1
72,172.389247,172.574063,"IEEE 802.15.4z SFD #2",0.8707,14,1,1
73,172.660516,172.845333,"IEEE 802.15.4z SFD #2",0.8607,14,1,1
74,172.931783,173.116599,"IEEE 802.15.4z SFD #2",0.8683,14,1,1
75,173.203049,173.387865,"IEEE 802.15.4z SFD #2",0.8707,14,1,1
76,177.272061,177.456877,"IEEE 802.15.4z SFD #2",0.8703,14,1,1
