index,window_offset,abs_start_sample,abs_end_sample,time_start_ms,time_end_ms,detected_repetitions,sample_clock_error_ppm,cfo_hz,sfd_name,sfd_correlation,phr_secded_pass,psdu_length_bytes,fcs_received,fcs_calculated,fcs_pass,payload_hex
1,17194464,17196716,17333854,23.324539,23.510544,136,0.000000,-2154.217829,"IEEE 802.15.4z SFD #2",0.867167,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
2,35667264,35669516,35823669,48.379877,48.588961,144,4.003147,9060.668268,"Decawave DW-8",0.079107,0,126,0x0000,0x0000,0,""
3,54035712,54037963,54194007,73.293678,73.505326,51,-0.000000,-12254.772089,"IEEE 802.15.4z SFD #2",0.550366,1,39,0x797B,0x7C95,0,"5F638BB9BBE9B99B9EBBE9BB705A72C71B5020107043B62D1F06EB3F00200BF36A3F82FA9D7B79"
4,57795712,57795305,57949458,78.389899,78.598983,107,0.000000,332.745478,"IEEE 802.15.4z SFD #2",0.027423,0,12,0x0000,0x0000,0,""
5,79904160,79903756,80057909,108.376405,108.585489,55,0.000000,-255.070961,"IEEE 802.15.4z SFD #2",0.046042,0,45,0x0000,0x0000,0,""
6,94652160,94652120,94795307,128.380154,128.574364,48,-0.000000,-173.968391,"Decawave DW-8",0.025099,1,22,0xF34A,0x7C82,0,"4A4DE34F3323ACA1AB43A010103A036B71A474C04AF3"
7,102029536,102029445,102183598,138.386292,138.595375,112,0.000000,1305.705962,"Decawave DW-8",0.033678,0,8,0x0000,0x0000,0,""
8,113056800,113059050,113196190,153.346151,153.532159,53,21.665924,-12070.295707,"IEEE 802.15.4z SFD #2",0.652911,1,14,0xA58F,0x5948,0,"3D05AD8A88DA8AA8AD191E068FA5"
9,131512544,131512155,131666307,178.374776,178.583858,122,-0.000000,1406.515535,"Decawave DW-8",0.038580,0,41,0x0000,0x0000,0,""
10,138799072,138801324,138955477,188.261344,188.470428,67,2.553132,-7316.402495,"IEEE 802.15.4z SFD #2",0.715864,0,14,0x0000,0x0000,0,""
11,168314912,168317164,168471317,228.294765,228.503848,56,1.850098,-9892.751813,"IEEE 802.15.4z SFD #2",0.653952,0,78,0x0000,0x0000,0,""
12,179340928,179343179,179480316,243.249755,243.435758,48,-0.000000,-14083.138064,"IEEE 802.15.4z SFD #2",0.612096,1,14,0xF0DA,0x3D5C,0,"7487C14C4416466461441612DAF0"
13,197865088,197864464,197997065,268.370855,268.550707,126,0.000000,-1955.704315,"Decawave DW-8",0.038605,1,8,0xF6A2,0xEE73,0,"37CA9EAC6C54A2F6"
14,227303200,227305452,227459604,308.302751,308.511833,55,0.000000,-10465.577973,"IEEE 802.15.4z SFD #2",0.683091,0,14,0x0000,0x0000,0,""
15,234746176,234745791,234899943,318.394356,318.603438,104,0.000000,-2554.808633,"Decawave DW-8",0.040049,0,80,0x0000,0x0000,0,""
16,249489152,249488879,249619960,338.390949,338.568739,51,-0.000000,-280.613946,"IEEE 802.15.4z SFD #2",0.040451,1,6,0x92F3,0x6909,0,"C51DFB58F392"
17,253084640,253086892,253223275,343.271067,343.456048,52,0.000000,-11732.701940,"IEEE 802.15.4z SFD #2",0.614075,1,13,0x70B8,0x958B,0,"0E36811311431331341193B870"
18,264234368,264233959,264388112,358.390244,358.599327,107,-0.000000,-646.978712,"IEEE 802.15.4z SFD #2",0.029914,0,12,0x0000,0x0000,0,""
19,271530688,271532939,271670077,368.290119,368.476124,105,-0.000000,-3109.293828,"IEEE 802.15.4z SFD #2",0.863130,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
20,278858784,278861035,279015187,378.229485,378.438567,48,-0.000000,-13183.233941,"IEEE 802.15.4z SFD #2",0.547652,0,14,0x0000,0x0000,0,""
21,290052256,290051991,290206144,393.408191,393.617274,89,0.000000,589.705217,"Decawave DW-8",0.038044,0,41,0x0000,0x0000,0,""
22,301092832,301092469,301246622,408.382798,408.591881,115,-0.000000,2137.093258,"IEEE legacy/BPRF SFD #0",0.023207,0,2,0x0000,0x0000,0,""
23,337845536,337847788,337980390,458.235390,458.415243,49,0.000000,-12581.580746,"IEEE 802.15.4z SFD #2",0.532209,1,8,0x3113,0x395C,0,"A49C291311431331"
24,348899360,348901612,349038751,473.228098,473.414105,112,0.466618,-2854.851633,"IEEE 802.15.4z SFD #2",0.841489,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
25,352608416,352610668,352787885,478.258827,478.499193,63,6.850832,-8617.232763,"IEEE 802.15.4z SFD #2",0.622008,1,61,0x2E26,0xCB97,0,"0E369EB9BBE9B99B9EBBE9BB705A72C71B2F47051AAC5181D5798400CCEB0E0E76E69B98F8434E30F5DDC7D7266D64A67C143DB11088AF59AF77E1262E"
26,363645792,363648043,363785180,493.229225,493.415229,48,-0.000000,-13092.040891,"IEEE 802.15.4z SFD #2",0.611930,1,14,0x5A70,0xED3B,0,"7C67234E445613313411C3B9705A"
27,371133312,371132944,371287097,503.381272,503.590355,115,-0.000000,-3945.187553,"IEEE legacy/BPRF SFD #0",0.027010,0,112,0x0000,0x0000,0,""
28,389557920,389557919,389712072,528.371743,528.580827,126,0.000000,1576.756845,"Decawave DW-8",0.046993,0,24,0x0000,0x0000,0,""
29,396878528,396880780,397034933,538.304009,538.513093,60,4.676496,-9578.098909,"IEEE 802.15.4z SFD #2",0.647701,0,14,0x0000,0x0000,0,""
30,411639712,411641964,411796117,558.325146,558.534230,59,3.278922,-9201.080700,"IEEE 802.15.4z SFD #2",0.658294,0,14,0x0000,0x0000,0,""
31,419021344,419023595,419177747,568.337124,568.546206,81,-0.000000,-5405.553658,"IEEE 802.15.4z SFD #2",0.782731,0,12,0x0000,0x0000,0,""
32,422686848,422689099,422826239,573.308782,573.494790,54,0.000000,-10873.708361,"IEEE 802.15.4z SFD #2",0.629390,1,14,0xF0DA,0xB97F,0,"A54929131143133164441612DAF0"
33,452234016,452233653,452412384,613.381148,613.623568,115,-0.000000,1116.687394,"IEEE 802.15.4z SFD #2",0.024138,1,63,0x1F75,0xA7AF,0,"912832EE34F075BC41CFEDE602F240834C485BC4F21939E5E3FCECAE76FC052EC89070AAF6FCB9D3F7131712C207809869424619BB61B20E21081322E3751F"
34,459625248,459624666,459778819,623.405851,623.614935,61,0.000000,52.547868,"Decawave DW-8",0.031100,0,64,0x0000,0x0000,0,""
35,463294112,463293745,463447898,628.382358,628.591442,115,0.000000,1163.806897,"IEEE legacy/BPRF SFD #0",0.023960,0,34,0x0000,0x0000,0,""
36,470669536,470669445,470823598,638.386292,638.595375,95,-0.000000,-38.929598,"Decawave DW-8",0.034185,0,41,0x0000,0x0000,0,""
37,503843424,503843358,503970664,683.381291,683.553961,116,0.000000,1224.161897,"Decawave DW-8",0.030901,1,1,0x0000,0x0000,0,"91"
38,507439456,507441707,507578849,688.261864,688.447875,57,18.245791,-10470.254505,"IEEE 802.15.4z SFD #2",0.514144,1,14,0x68DA,0x2BF3,0,"6F16A5834C96CA8E8D80E91ADA68"
39,518581408,518581407,518735560,703.371049,703.580132,55,0.000000,-998.223670,"Decawave DW-8",0.043258,0,29,0x0000,0x0000,0,""
40,525862688,525864939,526019091,713.249972,713.459054,68,-0.000000,-7251.349059,"IEEE 802.15.4z SFD #2",0.730666,0,15,0x0000,0x0000,0,""
41,533271200,533273452,533410591,723.298410,723.484417,136,0.316955,-2099.930898,"IEEE 802.15.4z SFD #2",0.852333,1,14,0x6943,0x6943,1,"3D05AD8A88DA8AA8AD88DA8A4369"
