index,time_start_ms,time_end_ms,sfd_name,sfd_corr,psdu_len,fcs_pass
1,23.324539,23.510544,"IEEE 802.15.4z SFD #2",0.8672,14,1
2,73.293678,73.505326,"IEEE 802.15.4z SFD #2",0.5504,39,0
3,153.346151,153.532159,"IEEE 802.15.4z SFD #2",0.6529,14,0
4,243.249755,243.435758,"IEEE 802.15.4z SFD #2",0.6121,14,0
5,343.271067,343.456048,"IEEE 802.15.4z SFD #2",0.6141,13,0
6,368.290119,368.476124,"IEEE 802.15.4z SFD #2",0.8631,14,1
7,458.235390,458.415243,"IEEE 802.15.4z SFD #2",0.5322,8,0
8,473.228098,473.414105,"IEEE 802.15.4z SFD #2",0.8415,14,1
9,478.258827,478.499193,"IEEE 802.15.4z SFD #2",0.6220,61,0
10,493.229225,493.415229,"IEEE 802.15.4z SFD #2",0.6119,14,0
11,573.308782,573.494790,"IEEE 802.15.4z SFD #2",0.6294,14,0
12,688.261864,688.447875,"IEEE 802.15.4z SFD #2",0.5141,14,0
13,723.298410,723.484417,"IEEE 802.15.4z SFD #2",0.8523,14,1
14,748.235693,748.421700,"IEEE 802.15.4z SFD #2",0.8318,14,1
15,773.335258,773.521263,"IEEE 802.15.4z SFD #2",0.8647,14,1
16,858.256787,858.430485,"IEEE 802.15.4z SFD #2",0.6768,2,0
17,888.251577,888.437583,"IEEE 802.15.4z SFD #2",0.8690,14,1
18,908.358435,908.544440,"IEEE 802.15.4z SFD #2",0.8657,14,1
19,928.362789,928.548796,"IEEE 802.15.4z SFD #2",0.8639,14,1
