index,slot,abs_start,expected,time_ms,expected_ms,dt_ms,win_off,win_len,sfd,sfd_corr,sync_reps,psdu,fcs
1,0,1304503,1304503,1.769345,1.769345,0.000000,1302251,1400000,"IEEE 802.15.4z SFD #2",0.8497,136,14,1
2,1,4943155,4990903,6.704583,6.769345,-0.064762,4940903,1400000,"IEEE 802.15.4z SFD #2",0.8546,136,14,1
3,2,8629555,8677303,11.704583,11.769345,-0.064762,8627303,1400000,"IEEE 802.15.4z SFD #2",0.8487,136,14,1
4,3,12315955,12363703,16.704583,16.769345,-0.064762,12313703,1400000,"IEEE 802.15.4z SFD #2",0.8630,136,14,1
5,4,16002355,16050103,21.704583,21.769345,-0.064762,16000103,1400000,"IEEE 802.15.4z SFD #2",0.8569,136,14,1
6,5,19688754,19736503,26.704582,26.769345,-0.064764,19686503,1400000,"IEEE 802.15.4z SFD #2",0.8358,136,14,1
7,6,23375155,23422903,31.704583,31.769345,-0.064762,23372903,1400000,"IEEE 802.15.4z SFD #2",0.8425,136,14,1
8,7,27061555,27109303,36.704583,36.769345,-0.064762,27059303,1400000,"IEEE 802.15.4z SFD #2",0.8662,136,14,1
9,8,30747954,30795703,41.704582,41.769345,-0.064764,30745703,1400000,"IEEE 802.15.4z SFD #2",0.8651,136,14,1
10,9,34434354,34482103,46.704582,46.769345,-0.064764,34432103,1400000,"IEEE 802.15.4z SFD #2",0.8489,136,14,1
11,10,38120755,38168503,51.704583,51.769345,-0.064762,38118503,1400000,"IEEE 802.15.4z SFD #2",0.8418,136,14,1
12,11,41807155,41854903,56.704583,56.769345,-0.064762,41804903,1400000,"IEEE 802.15.4z SFD #2",0.8704,136,14,1
13,12,45493555,45541303,61.704583,61.769345,-0.064762,45491303,1400000,"IEEE 802.15.4z SFD #2",0.8561,136,14,1
14,13,49179955,49227703,66.704583,66.769345,-0.064762,49177703,1400000,"IEEE 802.15.4z SFD #2",0.8460,136,14,1
15,14,52866354,52914103,71.704582,71.769345,-0.064764,52864103,1400000,"IEEE 802.15.4z SFD #2",0.8360,136,14,1
16,15,56552755,56600503,76.704583,76.769345,-0.064762,56550503,1400000,"IEEE 802.15.4z SFD #2",0.8708,136,14,1
17,16,60239155,60286903,81.704583,81.769345,-0.064762,60236903,1400000,"IEEE 802.15.4z SFD #2",0.8484,136,14,1
18,17,63925555,63973303,86.704583,86.769345,-0.064762,63923303,1400000,"IEEE 802.15.4z SFD #2",0.8383,136,14,1
19,18,67611954,67659703,91.704582,91.769345,-0.064764,67609703,1400000,"IEEE 802.15.4z SFD #2",0.8448,136,14,1
20,19,71298355,71346103,96.704583,96.769345,-0.064762,71296103,1400000,"IEEE 802.15.4z SFD #2",0.8682,136,14,1
21,20,74984755,75032503,101.704583,101.769345,-0.064762,74982503,1400000,"IEEE 802.15.4z SFD #2",0.8577,136,14,1
22,21,78671155,78718903,106.704583,106.769345,-0.064762,78668903,1400000,"IEEE 802.15.4z SFD #2",0.8536,136,14,1
23,22,82357555,82405303,111.704583,111.769345,-0.064762,82355303,1400000,"IEEE 802.15.4z SFD #2",0.8582,136,14,1
24,23,86043955,86091703,116.704583,116.769345,-0.064762,86041703,1400000,"IEEE 802.15.4z SFD #2",0.8515,136,14,1
25,24,89730355,89778103,121.704583,121.769345,-0.064762,89728103,1400000,"IEEE 802.15.4z SFD #2",0.8370,136,14,1
26,25,93416755,93464503,126.704583,126.769345,-0.064762,93414503,1400000,"IEEE 802.15.4z SFD #2",0.8401,136,14,1
27,26,97103155,97150903,131.704583,131.769345,-0.064762,97100903,1400000,"IEEE 802.15.4z SFD #2",0.8698,136,14,1
28,27,100789555,100837303,136.704583,136.769345,-0.064762,100787303,1400000,"IEEE 802.15.4z SFD #2",0.8647,136,14,1
29,28,104475955,104523703,141.704583,141.769345,-0.064762,104473703,1400000,"IEEE 802.15.4z SFD #2",0.8425,136,14,1
30,29,108162355,108210103,146.704583,146.769345,-0.064762,108160103,1400000,"IEEE 802.15.4z SFD #2",0.8368,136,14,1
31,30,111848755,111896503,151.704583,151.769345,-0.064762,111846503,1400000,"IEEE 802.15.4z SFD #2",0.8687,136,14,1
32,31,115535154,115582903,156.704582,156.769345,-0.064764,115532903,1400000,"IEEE 802.15.4z SFD #2",0.8722,136,14,1
33,32,119221555,119269303,161.704583,161.769345,-0.064762,119219303,1400000,"IEEE 802.15.4z SFD #2",0.8444,136,14,1
34,33,122907955,122955703,166.704583,166.769345,-0.064762,122905703,1400000,"IEEE 802.15.4z SFD #2",0.8469,136,14,1
35,34,126594355,126642103,171.704583,171.769345,-0.064762,126592103,1400000,"IEEE 802.15.4z SFD #2",0.8695,136,14,1
36,35,130280755,130328503,176.704583,176.769345,-0.064762,130278503,1400000,"IEEE 802.15.4z SFD #2",0.8560,136,14,1
37,36,133967155,134014903,181.704583,181.769345,-0.064762,133964903,1400000,"IEEE 802.15.4z SFD #2",0.8468,136,14,1
38,37,137653555,137701303,186.704583,186.769345,-0.064762,137651303,1400000,"IEEE 802.15.4z SFD #2",0.8453,136,14,1
39,38,141339955,141387703,191.704583,191.769345,-0.064762,141337703,1400000,"IEEE 802.15.4z SFD #2",0.8685,136,14,1
40,39,145026355,145074103,196.704583,196.769345,-0.064762,145024103,1400000,"IEEE 802.15.4z SFD #2",0.8478,136,14,1
41,40,148712755,148760503,201.704583,201.769345,-0.064762,148710503,1400000,"IEEE 802.15.4z SFD #2",0.8479,136,14,1
42,41,152399155,152446903,206.704583,206.769345,-0.064762,152396903,1400000,"IEEE 802.15.4z SFD #2",0.8382,136,14,1
43,42,156085555,156133303,211.704583,211.769345,-0.064762,156083303,1400000,"IEEE 802.15.4z SFD #2",0.8699,136,14,1
44,43,159771955,159819703,216.704583,216.769345,-0.064762,159769703,1400000,"IEEE 802.15.4z SFD #2",0.8611,136,14,1
45,44,163458355,163506103,221.704583,221.769345,-0.064762,163456103,1400000,"IEEE 802.15.4z SFD #2",0.8532,136,14,1
46,45,167144755,167192503,226.704583,226.769345,-0.064762,167142503,1400000,"IEEE 802.15.4z SFD #2",0.8495,136,14,1
47,46,170831155,170878903,231.704583,231.769345,-0.064762,170828903,1400000,"IEEE 802.15.4z SFD #2",0.8672,136,14,1
48,47,174517555,174565303,236.704583,236.769345,-0.064762,174515303,1400000,"IEEE 802.15.4z SFD #2",0.8293,136,14,1
49,48,178203954,178251703,241.704582,241.769345,-0.064764,178201703,1400000,"IEEE 802.15.4z SFD #2",0.8315,136,14,1
50,49,181890355,181938103,246.704583,246.769345,-0.064762,181888103,1400000,"IEEE 802.15.4z SFD #2",0.8633,136,14,1
